Unload Time: 0, Trucker: Sandy 'Trucker Trailblazer' Price, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 198, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 0, Trucker: Rachel 'Steel Thunder' Mitchell, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 189, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Olivia 'Speedy Delivery' Young, Company: Patriot Road Warriors, ID Num: C4, Price of Crate: 316, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Donna 'High Gear' Garcia, Company: Yellow Ribbon Logistics, ID Num: C4, Price of Crate: 308, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Laura 'Highway Harmony' Collins, Company: Green Line Express, ID Num: C4, Price of Crate: 113, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Alex 'High Gear' Butler, Company: Eagle Transport Services, ID Num: C1, Price of Crate: 192, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 70, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Patrick 'High Beam' Carter, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 78, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Dana 'Mile Marker' Sanchez, Company: Trucker's Choice Transport, ID Num: C3, Price of Crate: 56, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 0, Trucker: Jessica 'The Truckin' Trooper' Lewis, Company: Cargo Masters Inc., ID Num: C0, Price of Crate: 379, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Rachel 'Steel Thunder' Mitchell, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 341, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Olivia 'Speedy Delivery' Young, Company: Patriot Road Warriors, ID Num: C3, Price of Crate: 117, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Donna 'High Gear' Garcia, Company: Yellow Ribbon Logistics, ID Num: C3, Price of Crate: 288, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Laura 'Highway Harmony' Collins, Company: Green Line Express, ID Num: C3, Price of Crate: 306, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 10, Trucker: Alex 'High Gear' Butler, Company: Eagle Transport Services, ID Num: C0, Price of Crate: 83, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Jason 'Diesel Dynamo' Moore, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 376, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Patrick 'High Beam' Carter, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 387, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 10, Trucker: Dana 'Mile Marker' Sanchez, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 247, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C3, Price of Crate: 411, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Rachel 'Steel Thunder' Mitchell, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 172, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 20, Trucker: Olivia 'Speedy Delivery' Young, Company: Patriot Road Warriors, ID Num: C2, Price of Crate: 280, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Donna 'High Gear' Garcia, Company: Yellow Ribbon Logistics, ID Num: C2, Price of Crate: 254, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Laura 'Highway Harmony' Collins, Company: Green Line Express, ID Num: C2, Price of Crate: 258, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Dana 'Mile Marker' Sanchez, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 455, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 20, Trucker: Erin 'Diesel Duchess' Jackson, Company: Green Line Express, ID Num: C0, Price of Crate: 331, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 30, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C2, Price of Crate: 452, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Olivia 'Speedy Delivery' Young, Company: Patriot Road Warriors, ID Num: C1, Price of Crate: 438, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Donna 'High Gear' Garcia, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 419, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Laura 'Highway Harmony' Collins, Company: Green Line Express, ID Num: C1, Price of Crate: 469, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Dave 'Cargo Cruiser' Williams, Company: Thunderstruck Transports, ID Num: C1, Price of Crate: 328, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 30, Trucker: Michelle 'Miles Away' Anderson, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 387, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 30, Trucker: Dana 'Mile Marker' Sanchez, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 424, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C1, Price of Crate: 163, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: David 'Rolling Renegade' Jackson, Company: Redwood Trucking Group, ID Num: C3, Price of Crate: 450, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Olivia 'Speedy Delivery' Young, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 211, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Donna 'High Gear' Garcia, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 483, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Laura 'Highway Harmony' Collins, Company: Green Line Express, ID Num: C0, Price of Crate: 81, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: Dave 'Cargo Cruiser' Williams, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 63, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 40, Trucker: David 'Trucker Trekker' Anderson, Company: American Freightways, ID Num: C4, Price of Crate: 76, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 40, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Cargo Masters Inc., ID Num: C1, Price of Crate: 491, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Jack 'Freightliner' Thompson, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 274, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 50, Trucker: David 'Rolling Renegade' Jackson, Company: Redwood Trucking Group, ID Num: C2, Price of Crate: 347, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: David 'Rolling Renegade' Jackson, Company: Highway Haulers Co., ID Num: C3, Price of Crate: 312, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: David 'Trucker Trekker' Anderson, Company: American Freightways, ID Num: C3, Price of Crate: 77, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 50, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Cargo Masters Inc., ID Num: C0, Price of Crate: 172, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: David 'Rolling Renegade' Jackson, Company: Redwood Trucking Group, ID Num: C1, Price of Crate: 366, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Nicole 'Rig Rider' Smith, Company: Silver Arrow Shipping, ID Num: C4, Price of Crate: 494, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Laura 'Highway Harmony' Collins, Company: Interstate Logistics, ID Num: C0, Price of Crate: 282, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 60, Trucker: Paul 'Transport Titan' Turner, Company: Pioneer Trucking Solutions, ID Num: C1, Price of Crate: 86, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 255, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: David 'Rolling Renegade' Jackson, Company: Highway Haulers Co., ID Num: C2, Price of Crate: 324, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 60, Trucker: David 'Trucker Trekker' Anderson, Company: American Freightways, ID Num: C2, Price of Crate: 211, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Tony 'Diesel King' Smith, Company: Freedom Truck Lines, ID Num: C3, Price of Crate: 341, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: David 'Rolling Renegade' Jackson, Company: Redwood Trucking Group, ID Num: C0, Price of Crate: 51, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: Nicole 'Rig Rider' Smith, Company: Silver Arrow Shipping, ID Num: C3, Price of Crate: 259, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: Paul 'Transport Titan' Turner, Company: Pioneer Trucking Solutions, ID Num: C0, Price of Crate: 486, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 77, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 70, Trucker: David 'Rolling Renegade' Jackson, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 109, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 70, Trucker: David 'Trucker Trekker' Anderson, Company: American Freightways, ID Num: C1, Price of Crate: 54, Scenario: A crate was unloaded, but the truck still has more crates to unload.
